id,value
id_0,25.7565292397
id_1,63.5407963911
id_2,19.8010562101
id_3,26.3386602373
id_4,11.0849307768
id_5,31.9357172861
id_6,40.9688765132
id_7,15.8546033472
id_8,49.2062083438
id_9,34.7470310339
id_10,37.4207017426
id_11,63.7883905419
id_12,33.2445040837
id_13,39.4665024034
id_14,24.5920377578
id_15,15.1336404231
id_16,52.9297498061
id_17,23.4218443833
id_18,17.0464369774
id_19,19.4701541853
id_20,14.9528423845
id_21,25.9004172411
id_22,40.0593178679
id_23,12.068392114
id_24,60.8955121136
id_25,46.5443193582
id_26,28.5308507033
id_27,8.07658843125
id_28,29.290475259
id_29,35.5368023173
id_30,16.801541487
id_31,10.39296134
id_32,16.8913753235
id_33,4.81806600761
id_34,17.0450934593
id_35,39.4944202988
id_36,19.5564904136
id_37,26.7749796433
id_38,9.1249098881
id_39,62.9108543308
id_40,49.2274555979
id_41,16.5853578576
id_42,50.2853899765
id_43,17.5597555735
id_44,46.9256449193
id_45,52.9601221909
id_46,58.474474331
id_47,39.7691831273
id_48,54.1081876211
id_49,43.3701103838
id_50,31.2092427873
id_51,22.8027041633
id_52,41.485109466
id_53,26.745063504
id_54,37.7209123027
id_55,38.7475082418
id_56,25.2371155587
id_57,21.6978900796
id_58,35.3537979417
id_59,30.5780374883
id_60,15.2103767902
id_61,20.7460169364
id_62,32.8225926285
id_63,56.3872071259
id_64,53.4951277592
id_65,26.657499459
id_66,42.4037316719
id_67,54.7043544481
id_68,29.968556443
id_69,37.8933416736
id_70,65.3989814357
id_71,53.7946572103
id_72,43.0993003373
id_73,12.9431072888
id_74,12.0638715224
id_75,35.3403235254
id_76,63.0983192177
id_77,5.22443494363
id_78,41.5210848482
id_79,39.6563779212
id_80,8.13903534695
id_81,21.1612886452
id_82,10.6968267426
id_83,35.4644674884
id_84,10.1574931301
id_85,5.26361033729
id_86,15.150249946
id_87,12.8237810166
id_88,14.4582238808
id_89,26.4358274061
id_90,31.3675041796
id_91,12.1987868906
id_92,13.3700210853
id_93,8.84748088504
id_94,37.4293609992
id_95,15.140993108
id_96,16.1961254664
id_97,8.11158289773
id_98,10.1750997652
id_99,4.01168422558
id_100,12.9291286521
id_101,21.6038148125
id_102,10.4286065936
id_103,5.35807212196
id_104,15.0200917074
id_105,38.8740400874
id_106,27.0483666703
id_107,10.5994854586
id_108,16.3575923967
id_109,17.5886908926
id_110,13.3570955544
id_111,14.6272047735
id_112,12.7895606992
id_113,28.0112661032
id_114,21.4114040868
id_115,14.5018608753
id_116,9.86148678666
id_117,42.6381064594
id_118,30.6265465055
id_119,0.839209453186
id_120,-0.496901743823
id_121,10.4354346229
id_122,14.7825460553
id_123,14.8698908573
id_124,5.68385368144
id_125,25.8740659468
id_126,23.5036350626
id_127,12.1137428161
id_128,19.2977091164
id_129,13.8159821543
id_130,-2.33168896958
id_131,36.4203932813
id_132,12.018550471
id_133,24.7064168006
id_134,26.3275916881
id_135,25.0054185397
id_136,11.4066979341
id_137,21.7557714087
id_138,81.1222067162
id_139,59.5874041474
id_140,27.2988866787
id_141,15.9690204109
id_142,26.9636924841
id_143,7.01948837546
id_144,12.7664909863
id_145,9.46911924437
id_146,20.0460899741
id_147,6.34250586443
id_148,16.492327259
id_149,20.2109202733
id_150,48.5181280141
id_151,21.5446949638
id_152,22.9614716217
id_153,16.7030822984
id_154,13.9557847387
id_155,25.9453036284
id_156,27.9256530351
id_157,37.1624796693
id_158,2.62108011611
id_159,22.0507399438
id_160,40.4070473982
id_161,21.2607962076
id_162,61.6165242307
id_163,17.4510697797
id_164,36.6879515532
id_165,25.300823823
id_166,20.0813887668
id_167,1.08590655087
id_168,68.2711662451
id_169,18.9109693278
id_170,16.6646369503
id_171,72.5871732175
id_172,21.7529709367
id_173,2.88358428962
id_174,24.8770708016
id_175,1.19505473305
id_176,9.86720152774
id_177,22.0923460037
id_178,22.2904342609
id_179,27.5869446088
id_180,43.2008228342
id_181,29.1429438908
id_182,28.6864505503
id_183,14.091402176
id_184,8.8279782688
id_185,42.1831914468
id_186,36.1056915883
id_187,32.5511518686
id_188,15.8587648446
id_189,24.5329106677
id_190,13.8821147625
id_191,13.7472849363
id_192,32.9385661206
id_193,76.7798344904
id_194,28.0407238716
id_195,11.341461392
id_196,65.2078907182
id_197,17.2788512603
id_198,20.7294904812
id_199,22.9362763997
id_200,142.20312804
id_201,24.3084711758
id_202,61.6097940721
id_203,6.86033071584
id_204,62.6390248714
id_205,35.0015579114
id_206,17.6506483169
id_207,14.9707909891
id_208,64.8417479172
id_209,14.0018106065
id_210,32.3638650974
id_211,70.7188309101
id_212,20.8991081786
id_213,93.8037251646
id_214,38.4693618845
id_215,78.7032118358
id_216,98.4336773256
id_217,75.6151019485
id_218,27.1626613141
id_219,19.2046934469
id_220,32.0190781756
id_221,56.3867826556
id_222,30.1360112218
id_223,41.663931699
id_224,41.2978889705
id_225,7.86148096971
id_226,3.31491084385
id_227,74.740259073
id_228,28.8875670077
id_229,1.09230682742
id_230,39.9223398717
id_231,15.0794448572
id_232,24.3092474554
id_233,5.14120062005
id_234,12.4462142379
id_235,22.7576874921
id_236,14.9291364113
id_237,2.00169730393
id_238,21.5730862453
id_239,7.26334363615
